id,registrationNumber,routeId,capacity,status
bus-01,KA-34-F-5001,route-01,45,active
bus-02,KA-34-F-5002,route-02,45,active
bus-03,KA-34-F-5003,route-03,45,active
bus-04,KA-34-F-5004,route-04,45,active
bus-05,KA-34-F-1234,route-05,45,active
bus-06,KA-34-F-5006,route-06,45,active
bus-07,KA-34-F-5007,route-07,45,active
bus-08,KA-34-F-5008,route-08,45,active
bus-09,KA-34-F-5009,route-09,45,active
bus-10,KA-34-F-5010,route-10,45,active
bus-11,KA-34-F-5011,route-11,45,active
bus-14,KA-34-F-5014,route-14,45,active
bus-16,KA-34-F-5016,route-16,45,active
bus-17,KA-34-F-5017,route-17,45,active
bus-19,KA-34-F-5019,route-19,45,active
bus-20,KA-34-F-5020,route-20,45,active
bus-21,KA-34-F-5021,route-21,45,active
bus-22,KA-34-F-5022,route-22,45,active
bus-23,KA-34-F-5023,route-23,45,active
bus-24,KA-34-F-5024,route-24,45,active
bus-25,KA-34-F-5025,route-25,45,active
bus-26,KA-34-F-5026,route-26,45,active
