id,routeId,name,latitude,longitude,sequence
stop-01-01,route-01,M.G. Point,15.14149941793225,76.94632094145075,1
stop-01-02,route-01,S. N. PET SBI BANK,15.14860580122637,76.93714562171968,2
stop-01-03,route-01,Patel Nagar,15.147247470000000,76.93806000000000,3
stop-01-04,route-01,Punjab National Bank,15.146678549977056,76.93819349468299,4
stop-01-05,route-01,Raghavendra Swamy Temple,15.147077400238858,76.9368534534232,5
stop-01-06,route-01,Cool Corner,15.153960832492348,76.93238655429829,6
stop-01-07,route-01,KEB 1st Gate,15.141498646567982,76.90960635433882,7
stop-01-08,route-01,BITM,15.168493076349767,76.85072245180538,8
stop-02-01,route-02,Satyanarayana Temple - Bandihatti,,,1
stop-02-02,route-02,Kendriya Vidyalaya 5th Cross,,,2
stop-02-03,route-02,Azad Nagar Ground,,,3
stop-02-04,route-02,Near Canal (Belagal Road),,,4
stop-02-05,route-02,G-Square,,,5
stop-02-06,route-02,BITM,,,6
stop-03-01,route-03,Teachers Colony,,,1
stop-03-02,route-03,Mohammadia School,,,2
stop-03-03,route-03,Select Talkies,,,3
stop-03-04,route-03,SBI ATM,,,4
stop-03-05,route-03,Cowl Bazaar Police Station,,,5
stop-03-06,route-03,Babu Chowk,,,6
stop-03-07,route-03,Kunitana Masjid,,,7
stop-03-08,route-03,BITM,,,8
stop-04-01,route-04,APMC Govt. School,,,1
stop-04-02,route-04,Masjid,,,2
stop-04-03,route-04,Benki Maremma Temple,,,3
stop-04-04,route-04,Brucepet Police Station,,,4
stop-04-05,route-04,Maruthi Colony,,,5
stop-04-06,route-04,Mothi,,,6
stop-04-07,route-04,Belagal Cross,,,7
stop-04-08,route-04,BITM,,,8
stop-05-01,route-05,Water Booster (Basaveswara Nagar),,,1
stop-05-02,route-05,Kumaraswamy Temple,,,2
stop-05-03,route-05,KMF Milk Dairy,,,3
stop-05-04,route-05,M. K. Nagar,,,4
stop-05-05,route-05,Ambedkar School,,,5
stop-05-06,route-05,Huligamma Temple,,,6
stop-05-07,route-05,Satyavani Nagar 3rd Cross,,,7
stop-05-08,route-05,BITM,,,8
stop-06-01,route-06,Canal (Talur Road),,,1
stop-06-02,route-06,Sai Travels,,,2
stop-06-03,route-06,Shanthi Niketan School,,,3
stop-06-04,route-06,Basava Bhavan,,,4
stop-06-05,route-06,Police Gymkhana,,,5
stop-06-06,route-06,BJP Office,,,6
stop-06-07,route-06,BITM,,,7
stop-07-01,route-07,SIRWAR,,,1
stop-07-02,route-07,Kappagal,,,2
stop-07-03,route-07,Sanganakal,,,3
stop-07-04,route-07,Sukrutha Nursing Home,,,4
stop-07-05,route-07,BITM,,,5
stop-08-01,route-08,J. K. LAYOUT TALUR ROAD,,,1
stop-08-02,route-08,Bala Bharathi School,,,2
stop-08-03,route-08,Govindappa Kalyana Mantapa,,,3
stop-08-04,route-08,Sneha Colony,,,4
stop-08-05,route-08,Reddy Hotel,,,5
stop-08-06,route-08,BITM,,,6
stop-09-01,route-09,Gangappa Gin,,,1
stop-09-02,route-09,Sharada Medical Store,,,2
stop-09-03,route-09,Union Bank,,,3
stop-09-04,route-09,BITM,,,4
stop-10-01,route-10,Kanekal Bus Stand,,,1
stop-10-02,route-10,Dr. Vali Basha,,,2
stop-10-03,route-10,Vinayaka Temple,,,3
stop-10-04,route-10,Raghavendra Theatre,,,4
stop-10-05,route-10,Karnataka Function Hall,,,5
stop-10-06,route-10,BITM,,,6
stop-11-01,route-11,Vidya Nagar Mary Matha Church,,,1
stop-11-02,route-11,Heera Hardware,,,2
stop-11-03,route-11,Vidyanagar Water Tank,,,3
stop-11-04,route-11,Surya Apartment,,,4
stop-11-05,route-11,Batri Circle,,,5
stop-11-06,route-11,Vidyanagar 5th cross,,,6
stop-11-07,route-11,Vidyanagar Circle,,,7
stop-11-08,route-11,OPD,,,8
stop-11-09,route-11,BITM,,,9
stop-14-01,route-14,Dream World School,,,1
stop-14-02,route-14,Kappagal Road 3rd cross Sadashivanagar,,,2
stop-14-03,route-14,Kappagal Road - Brahmaiah Temple,,,3
stop-14-04,route-14,Kappagal Road 7th cross,,,4
stop-14-05,route-14,Kappagal Road 5th cross,,,5
stop-14-06,route-14,BITM,,,6
stop-16-01,route-16,Taranath Hospital,,,1
stop-16-02,route-16,BPSC School,,,2
stop-16-03,route-16,R. R. Theatre,,,3
stop-16-04,route-16,Pavan Hotel,,,4
stop-16-05,route-16,Royal Circle,,,5
stop-16-06,route-16,Mothi,,,6
stop-16-07,route-16,Radio Park - Ayyappa Swamy Temple,,,7
stop-16-08,route-16,BITM,,,8
stop-17-01,route-17,KAKARLA THOTA,,,1
stop-17-02,route-17,Guggarahatti Gate,,,2
